,Diver,Gender,Discipline,AP,RP,Card,Points,Remarks,Event Type,Day,Month,Year,Experience Dive,Experience Discipline,Country
8929,Deborah Andollo (CUB),F,CWT,61,61,WHITE,61.0,OK,Worldrecord attempt,1994-06-12,6,1994,0,0,CUB
3716,Umberto Pelizzari (ITA),M,CWT,72,72,WHITE,72.0,OK,Worldrecord attempt,1995-09-17,9,1995,0,0,ITA
3713,Deborah Andollo (CUB),F,CWT,62,62,WHITE,62.0,OK,Worldrecord attempt,1996-10-05,10,1996,1,1,CUB
5021,Michael Oliva (FRA),M,CWT,72,72,WHITE,72.0,OK,Worldrecord attempt,1996-10-11,10,1996,0,0,FRA
3717,Alejandro Ravelo (CUB),M,CWT,73,73,WHITE,73.0,OK,Worldrecord attempt,1997-08-02,8,1997,0,0,CUB
3715,Umberto Pelizzari (ITA),M,CWT,75,75,WHITE,75.0,OK,Worldrecord attempt,1997-09-13,9,1997,1,1,ITA
8928,Deborah Andollo (CUB),F,CWT,0,65,WHITE,65.0,OK,Worldrecord attempt,1997-12-05,12,1997,2,2,CUB
20860,Alexandra Louzine (CZE),F,CWT,35,35,WHITE,35.0,OK,Worldrecord attempt,1998-09-06,9,1998,0,0,CZE
3712,Tanya Streeter (USA),F,CWT,67,67,WHITE,67.0,OK,Worldrecord attempt,1998-09-19,9,1998,0,0,USA
13224,Bernard Hugues (FRA),M,CWT,0,60,WHITE,60.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13249,Eric Hoarau (FRA),M,CWT,0,54,WHITE,54.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13250,Yoram Zekri (FRA),M,CWT,0,53,WHITE,53.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13251,Davide Carrera (ITA),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,ITA
13252,Roberto Chiozzotto (ITA),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,ITA
13253,Dieter Baumann (AUT),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,AUT
13254,Yasemin Dalkilic (TUR),F,CWT,0,46,WHITE,46.0,OK,Competition,1999-01-01,1,1999,0,0,TUR
13222,Andy Le Sauce (FRA),M,CWT,0,56,WHITE,56.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13255,Karoline Meyer (BRA),F,CWT,0,40,WHITE,40.0,OK,Competition,1999-01-01,1,1999,0,0,BRA
13256,Anatoliy Baklanov (),M,CWT,0,51,WHITE,51.0,OK,Competition,1999-01-01,1,1999,0,0,Unknown
13257,Abri Retief (ZAF),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,ZAF
13248,Brett Le Master (USA),M,CWT,0,55,WHITE,55.0,OK,Competition,1999-01-01,1,1999,0,0,USA
13225,Jean-Pol François (BEL),M,CWT,0,51,WHITE,51.0,OK,Competition,1999-01-01,1,1999,0,0,BEL
13223,Alain Dujet (FRA),M,CWT,0,52,WHITE,52.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13247,Pierre Frolla (MCO),M,CWT,0,56,WHITE,56.0,OK,Competition,1999-01-01,1,1999,0,0,MCO
13258,Trevor Hutton (ZAF),M,CWT,0,54,WHITE,54.0,OK,Competition,1999-01-01,1,1999,0,0,ZAF
13245,Kerstin Mattes (DEU),F,CWT,0,22,WHITE,22.0,OK,Competition,1999-01-01,1,1999,0,0,DEU
13226,Claude Chapuis (FRA),M,CWT,0,59,WHITE,59.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13227,Stéphane Mifsud (FRA),M,CWT,0,49,WHITE,49.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13228,Frédéric Buyle (BEL),M,CWT,0,60,WHITE,60.0,OK,Competition,1999-01-01,1,1999,0,0,BEL
13229,Nathalie Desreac (FRA),F,CWT,0,51,WHITE,51.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13230,Mathilde Fouchard (FRA),F,CWT,0,32,WHITE,32.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13231,Maren Isigkeit (DEU),F,CWT,0,32,WHITE,32.0,OK,Competition,1999-01-01,1,1999,0,0,DEU
13246,Sophie Delmarre (FRA),F,CWT,0,10,WHITE,10.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13233,Dorothee Duchet (FRA),F,CWT,0,34,WHITE,34.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13234,Sharanne Wheeler (USA),F,CWT,0,25,WHITE,25.0,OK,Competition,1999-01-01,1,1999,0,0,USA
13232,Birgit Ehrenbolger (CHE),F,CWT,0,43,WHITE,43.0,OK,Competition,1999-01-01,1,1999,0,0,CHE
13242,Frederic Taisne (FRA),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13243,Bill Strömberg (SWE),M,CWT,0,51,WHITE,51.0,OK,Competition,1999-01-01,1,1999,0,0,SWE
13235,Miriam Lambert (CZE),F,CWT,0,26,WHITE,26.0,OK,Competition,1999-01-01,1,1999,0,0,CZE
13241,Jean-Michel Pardon (FRA),M,CWT,0,53,WHITE,53.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13240,Oliver Heuleu (FRA),M,CWT,0,54,WHITE,54.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13239,Eric Chapuis (FRA),M,CWT,0,58,WHITE,58.0,OK,Competition,1999-01-01,1,1999,0,0,FRA
13238,Benjamin Franz (DEU),M,CWT,0,53,WHITE,53.0,OK,Competition,1999-01-01,1,1999,0,0,DEU
13244,Alexandra Louzine (CZE),F,CWT,0,41,WHITE,41.0,OK,Competition,1999-01-01,1,1999,1,1,CZE
13237,Gaspare Battaglia (ITA),M,CWT,0,52,WHITE,52.0,OK,Competition,1999-01-01,1,1999,0,0,ITA
13236,Hubert Maier (DEU),M,CWT,0,50,WHITE,50.0,OK,Competition,1999-01-01,1,1999,0,0,DEU
12771,Pierre Frolla (MCO),M,FIM,0,72,WHITE,72.0,OK,Worldrecord attempt,1999-10-03,10,1999,1,0,MCO
3714,Umberto Pelizzari (ITA),M,CWT,80,80,WHITE,80.0,OK,Worldrecord attempt,1999-10-18,10,1999,2,2,ITA
11389,Brett Le Master (USA),M,CWT,81,81,WHITE,81.0,OK,Worldrecord attempt,1999-11-12,11,1999,1,1,USA
13291,Eric Fattah (CAN),M,CWT,0,63,WHITE,63.0,OK,Competition,2000-01-01,1,2000,0,0,CAN
13292,Patrik Musimu (BEL),M,CWT,0,60,WHITE,60.0,OK,Competition,2000-01-01,1,2000,0,0,BEL
13294,Carlos Coste (VEN),M,CWT,0,57,WHITE,57.0,OK,Competition,2000-01-01,1,2000,0,0,VEN
13293,Georges Bryan-Orr (GBR),M,CWT,0,58,WHITE,58.0,OK,Competition,2000-01-01,1,2000,0,0,GBR
13289,Anne-Marie Kitchen-Wheeler (GBR),F,CWT,0,36,WHITE,36.0,OK,Competition,2000-01-01,1,2000,0,0,GBR
13288,Delphine Marleux (FRA),F,CWT,0,44,WHITE,44.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13287,Amanda Williams (GBR),F,CWT,0,32,WHITE,32.0,OK,Competition,2000-01-01,1,2000,0,0,GBR
13286,Laura Tuominen (FIN),F,CWT,0,31,WHITE,31.0,OK,Competition,2000-01-01,1,2000,0,0,FIN
13290,Mandy-Rae Cruickshank/Krack (CAN),F,CWT,0,36,WHITE,36.0,OK,Competition,2000-01-01,1,2000,0,0,CAN
13295,Ronald Laurens (VEN),M,CWT,0,55,WHITE,55.0,OK,Competition,2000-01-01,1,2000,0,0,VEN
13285,Sophie Passalaqua (FRA),F,CWT,0,46,WHITE,46.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13297,Maike Münster (DEU),F,CWT,0,43,WHITE,43.0,OK,Competition,2000-01-01,1,2000,0,0,DEU
13298,Jessica Wilson (USA),F,CWT,0,38,WHITE,38.0,OK,Competition,2000-01-01,1,2000,0,0,USA
13299,Béatrice Lecroq (FRA),F,CWT,0,37,WHITE,37.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13300,Johanna Nordblad (FIN),F,CWT,0,31,WHITE,31.0,OK,Competition,2000-01-01,1,2000,0,0,FIN
13301,Valia Racine (CHE),F,CWT,0,28,WHITE,28.0,OK,Competition,2000-01-01,1,2000,0,0,CHE
13302,Valérie Dubois (FRA),F,CWT,0,27,WHITE,27.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13303,Nicole Czychon (DEU),F,CWT,0,26,WHITE,26.0,OK,Competition,2000-01-01,1,2000,0,0,DEU
13304,Stéphanie Bormann (BEL),F,CWT,0,26,WHITE,26.0,OK,Competition,2000-01-01,1,2000,0,0,BEL
13305,Megumi Matsumoto (JPN),F,CWT,0,32,WHITE,32.0,OK,Competition,2000-01-01,1,2000,0,0,JPN
13306,(),F,CWT,0,37,WHITE,37.0,OK,Competition,2000-01-01,1,2000,0,0,Unknown
13307,Nobuko Kishida (JPN),M,CWT,0,30,WHITE,30.0,OK,Competition,2000-01-01,1,2000,0,0,JPN
13308,Nobuko Kishida (JPN),M,CWT,0,28,WHITE,28.0,OK,Competition,2000-01-01,1,2000,1,1,JPN
13296,Sebastian Schultz (USA),M,CWT,0,52,WHITE,52.0,OK,Competition,2000-01-01,1,2000,0,0,USA
13284,Christine Lance (FRA),F,CWT,0,32,WHITE,32.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13283,Manolis Giankos (GRC),M,CWT,0,66,WHITE,66.0,OK,Competition,2000-01-01,1,2000,0,0,GRC
13282,Philippe Simoni (FRA),M,CWT,0,62,WHITE,62.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13260,Herbert Nitsch (AUT),M,CWT,0,66,WHITE,66.0,OK,Competition,2000-01-01,1,2000,0,0,AUT
13259,Andy Le Sauce (FRA),M,CWT,0,56,WHITE,56.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13261,Alain Dujet (FRA),M,CWT,0,63,WHITE,63.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13262,Bernard Hugues (FRA),M,CWT,0,62,WHITE,62.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13263,Kurt Teichgräber (DEU),M,CWT,0,56,WHITE,56.0,OK,Competition,2000-01-01,1,2000,0,0,DEU
13265,Kazuaki Ichikawa (JPN),M,CWT,0,52,WHITE,52.0,OK,Competition,2000-01-01,1,2000,0,0,JPN
13266,Riccardo Mazzi (ITA),M,CWT,0,57,WHITE,57.0,OK,Competition,2000-01-01,1,2000,0,0,ITA
13267,Frédéric Buyle (BEL),M,CWT,0,60,WHITE,60.0,OK,Competition,2000-01-01,1,2000,1,1,BEL
13268,Maren Isigkeit (DEU),F,CWT,0,44,WHITE,44.0,OK,Competition,2000-01-01,1,2000,1,1,DEU
13269,Birgit Ehrenbolger (CHE),F,CWT,0,44,WHITE,44.0,OK,Competition,2000-01-01,1,2000,1,1,CHE
13270,Joanna Massacand (CHE),F,CWT,0,37,WHITE,37.0,OK,Competition,2000-01-01,1,2000,0,0,CHE
13271,Sharanne Wheeler (USA),F,CWT,0,40,WHITE,40.0,OK,Competition,2000-01-01,1,2000,1,1,USA
13264,Claude Chapuis (FRA),M,CWT,0,62,WHITE,62.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13273,Oliver Heuleu (FRA),M,CWT,0,60,WHITE,60.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13281,Sonja Mau (DEU),F,CWT,0,35,WHITE,35.0,OK,Competition,2000-01-01,1,2000,0,0,DEU
13280,Brigitte Banegas (FRA),F,CWT,0,42,WHITE,42.0,OK,Competition,2000-01-01,1,2000,0,0,FRA
13272,Hubert Maier (DEU),M,CWT,0,60,WHITE,60.0,OK,Competition,2000-01-01,1,2000,1,1,DEU
13279,Peter Weinmann (CHE),M,CWT,0,55,WHITE,55.0,OK,Competition,2000-01-01,1,2000,0,0,CHE
13277,Eric Hoarau (FRA),M,CWT,0,54,WHITE,54.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13276,Brett Le Master (USA),M,CWT,0,53,WHITE,53.0,OK,Competition,2000-01-01,1,2000,2,2,USA
13278,Davide Carrera (ITA),M,CWT,0,57,WHITE,57.0,OK,Competition,2000-01-01,1,2000,1,1,ITA
13274,Jean-Michel Pardon (FRA),M,CWT,0,67,WHITE,67.0,OK,Competition,2000-01-01,1,2000,1,1,FRA
13275,Pierre Frolla (MCO),M,CWT,0,65,WHITE,65.0,OK,Competition,2000-01-01,1,2000,2,1,MCO
5016,Pierre Frolla (MCO),M,FIM,0,73,WHITE,73.0,OK,Worldrecord attempt,2000-08-03,8,2000,3,1,MCO
12772,Tanya Streeter (USA),F,FIM,70,70,WHITE,70.0,OK,Worldrecord attempt,2001-05-06,5,2001,1,0,USA
12773,Tanya Streeter (USA),F,CWT,70,70,WHITE,70.0,OK,Worldrecord attempt,2001-05-11,5,2001,2,1,USA
8690,Eric Fattah (CAN),M,CWT,82,82,WHITE,82.0,OK,Worldrecord attempt,2001-08-11,8,2001,1,1,CAN
4953,Pierre Frolla (MCO),M,FIM,0,80,WHITE,80.0,OK,Worldrecord attempt,2001-08-17,8,2001,4,2,MCO
2655,Martin Stepanek (CZE),M,FIM,0,90,WHITE,90.0,OK,Worldrecord attempt,2001-09-08,9,2001,0,0,CZE
13333,Mandy-Rae Cruickshank/Krack (CAN),F,CWT,0,50,WHITE,50.0,OK,Competition,2001-11-10,11,2001,1,1,CAN
13339,Kerstin Mattes (DEU),F,CWT,0,46,WHITE,46.0,OK,Competition,2001-11-10,11,2001,1,1,DEU
13334,Melitta Adany (HRV),F,CWT,0,46,WHITE,46.0,OK,Competition,2001-11-10,11,2001,0,0,HRV
13335,Tanya Streeter (USA),F,CWT,0,60,WHITE,60.0,OK,Competition,2001-11-10,11,2001,3,2,USA
13336,Marion Audoire (FRA),F,CWT,0,40,WHITE,40.0,OK,Competition,2001-11-10,11,2001,0,0,FRA
13337,Herbert Nitsch (AUT),M,CWT,0,86,WHITE,86.0,OK,Competition,2001-11-10,11,2001,1,1,AUT
13338,Anne Puustinen (FIN),F,CWT,0,40,WHITE,40.0,OK,Competition,2001-11-10,11,2001,0,0,FIN
13340,Sophie Passalaqua (FRA),F,CWT,0,56,WHITE,56.0,OK,Competition,2001-11-10,11,2001,1,1,FRA
13345,Umberto Pelizzari (ITA),M,CWT,0,73,WHITE,73.0,OK,Competition,2001-11-10,11,2001,3,3,ITA
13342,Brigitte Banegas (FRA),F,CWT,0,46,WHITE,46.0,OK,Competition,2001-11-10,11,2001,1,1,FRA
13343,(),F,CWT,0,40,WHITE,40.0,OK,Competition,2001-11-10,11,2001,1,1,Unknown
13344,Sascha Dench (AUS),F,CWT,0,42,WHITE,42.0,OK,Competition,2001-11-10,11,2001,0,0,AUS
13346,Megumi Matsumoto (JPN),F,CWT,0,43,WHITE,43.0,OK,Competition,2001-11-10,11,2001,1,1,JPN
13347,Zeljko Vedris (HRV),M,CWT,0,56,WHITE,56.0,OK,Competition,2001-11-10,11,2001,0,0,HRV
13348,Bill Strömberg (SWE),M,CWT,0,62,WHITE,62.0,OK,Competition,2001-11-10,11,2001,1,1,SWE
13332,Claude Chapuis (FRA),M,CWT,0,64,WHITE,64.0,OK,Competition,2001-11-10,11,2001,2,2,FRA
