,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Name,remainder__Country,remainder__AP,remainder__RP,remainder__Depth_Difference,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Year,remainder__Experience Dive,remainder__Experience Discipline
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo,CUB,61,61,0,61.0,OK,1994-06-12,6,1994,0,0
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari,ITA,72,72,0,72.0,OK,1995-09-17,9,1995,0,0
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo,CUB,62,62,0,62.0,OK,1996-10-05,10,1996,1,1
3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Michael Oliva,FRA,72,72,0,72.0,OK,1996-10-11,10,1996,0,0
4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alejandro Ravelo,CUB,73,73,0,73.0,OK,1997-08-02,8,1997,0,0
5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari,ITA,75,75,0,75.0,OK,1997-09-13,9,1997,1,1
6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo,CUB,0,65,-65,65.0,OK,1997-12-05,12,1997,2,2
7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alexandra Louzine,CZE,35,35,0,35.0,OK,1998-09-06,9,1998,0,0
8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter,USA,67,67,0,67.0,OK,1998-09-19,9,1998,0,0
9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernard Hugues,FRA,0,60,-60,60.0,OK,1999-01-01,1,1999,0,0
10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Hoarau,FRA,0,54,-54,54.0,OK,1999-01-01,1,1999,0,0
11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yoram Zekri,FRA,0,53,-53,53.0,OK,1999-01-01,1,1999,0,0
12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Davide Carrera,ITA,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Roberto Chiozzotto,ITA,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dieter Baumann,AUT,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yasemin Dalkilic,TUR,0,46,-46,46.0,OK,1999-01-01,1,1999,0,0
16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Le Sauce,FRA,0,56,-56,56.0,OK,1999-01-01,1,1999,0,0
17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Karoline Meyer,BRA,0,40,-40,40.0,OK,1999-01-01,1,1999,0,0
18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Anatoliy Baklanov,,0,51,-51,51.0,OK,1999-01-01,1,1999,0,0
19,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Abri Retief,ZAF,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Brett Le Master,USA,0,55,-55,55.0,OK,1999-01-01,1,1999,0,0
21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Pol François,BEL,0,51,-51,51.0,OK,1999-01-01,1,1999,0,0
22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Alain Dujet,FRA,0,52,-52,52.0,OK,1999-01-01,1,1999,0,0
23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pierre Frolla,MCO,0,56,-56,56.0,OK,1999-01-01,1,1999,0,0
24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Hutton,ZAF,0,54,-54,54.0,OK,1999-01-01,1,1999,0,0
25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kerstin Mattes,DEU,0,22,-22,22.0,OK,1999-01-01,1,1999,0,0
26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude Chapuis,FRA,0,59,-59,59.0,OK,1999-01-01,1,1999,0,0
27,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Stéphane Mifsud,FRA,0,49,-49,49.0,OK,1999-01-01,1,1999,0,0
28,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frédéric Buyle,BEL,0,60,-60,60.0,OK,1999-01-01,1,1999,0,0
29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nathalie Desreac,FRA,0,51,-51,51.0,OK,1999-01-01,1,1999,0,0
30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathilde Fouchard,FRA,0,32,-32,32.0,OK,1999-01-01,1,1999,0,0
31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Maren Isigkeit,DEU,0,32,-32,32.0,OK,1999-01-01,1,1999,0,0
32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sophie Delmarre,FRA,0,10,-10,10.0,OK,1999-01-01,1,1999,0,0
33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dorothee Duchet,FRA,0,34,-34,34.0,OK,1999-01-01,1,1999,0,0
34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharanne Wheeler,USA,0,25,-25,25.0,OK,1999-01-01,1,1999,0,0
35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Birgit Ehrenbolger,CHE,0,43,-43,43.0,OK,1999-01-01,1,1999,0,0
36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frederic Taisne,FRA,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Strömberg,SWE,0,51,-51,51.0,OK,1999-01-01,1,1999,0,0
38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Miriam Lambert,CZE,0,26,-26,26.0,OK,1999-01-01,1,1999,0,0
39,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Michel Pardon,FRA,0,53,-53,53.0,OK,1999-01-01,1,1999,0,0
40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliver Heuleu,FRA,0,54,-54,54.0,OK,1999-01-01,1,1999,0,0
41,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Chapuis,FRA,0,58,-58,58.0,OK,1999-01-01,1,1999,0,0
42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Benjamin Franz,DEU,0,53,-53,53.0,OK,1999-01-01,1,1999,0,0
43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexandra Louzine,CZE,0,41,-41,41.0,OK,1999-01-01,1,1999,1,1
44,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gaspare Battaglia,ITA,0,52,-52,52.0,OK,1999-01-01,1,1999,0,0
45,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hubert Maier,DEU,0,50,-50,50.0,OK,1999-01-01,1,1999,0,0
46,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pierre Frolla,MCO,0,72,-72,72.0,OK,1999-10-03,10,1999,1,0
47,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari,ITA,80,80,0,80.0,OK,1999-10-18,10,1999,2,2
48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Brett Le Master,USA,81,81,0,81.0,OK,1999-11-12,11,1999,1,1
49,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Fattah,CAN,0,63,-63,63.0,OK,2000-01-01,1,2000,0,0
50,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrik Musimu,BEL,0,60,-60,60.0,OK,2000-01-01,1,2000,0,0
