,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Diver,remainder__AP,remainder__RP,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Experience Dive,remainder__Experience Discipline,remainder__Country
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo (CUB),61,61,61.0,OK,1994-06-12,6,0,0,CUB
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari (ITA),72,72,72.0,OK,1995-09-17,9,0,0,ITA
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo (CUB),62,62,62.0,OK,1996-10-05,10,1,1,CUB
3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Michael Oliva (FRA),72,72,72.0,OK,1996-10-11,10,0,0,FRA
4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alejandro Ravelo (CUB),73,73,73.0,OK,1997-08-02,8,0,0,CUB
5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Umberto Pelizzari (ITA),75,75,75.0,OK,1997-09-13,9,1,1,ITA
6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deborah Andollo (CUB),0,65,65.0,OK,1997-12-05,12,2,2,CUB
7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Alexandra Louzine (CZE),35,35,35.0,OK,1998-09-06,9,0,0,CZE
8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter (USA),67,67,67.0,OK,1998-09-19,9,0,0,USA
9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernard Hugues (FRA),0,60,60.0,OK,1999-01-01,1,0,0,FRA
10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Hoarau (FRA),0,54,54.0,OK,1999-01-01,1,0,0,FRA
11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yoram Zekri (FRA),0,53,53.0,OK,1999-01-01,1,0,0,FRA
12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Davide Carrera (ITA),0,50,50.0,OK,1999-01-01,1,0,0,ITA
13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Roberto Chiozzotto (ITA),0,50,50.0,OK,1999-01-01,1,0,0,ITA
14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dieter Baumann (AUT),0,50,50.0,OK,1999-01-01,1,0,0,AUT
15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yasemin Dalkilic (TUR),0,46,46.0,OK,1999-01-01,1,0,0,TUR
16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Le Sauce (FRA),0,56,56.0,OK,1999-01-01,1,0,0,FRA
17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Karoline Meyer (BRA),0,40,40.0,OK,1999-01-01,1,0,0,BRA
18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Anatoliy Baklanov (),0,51,51.0,OK,1999-01-01,1,0,0,Unknown
19,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Abri Retief (ZAF),0,50,50.0,OK,1999-01-01,1,0,0,ZAF
20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Brett Le Master (USA),0,55,55.0,OK,1999-01-01,1,0,0,USA
21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Pol François (BEL),0,51,51.0,OK,1999-01-01,1,0,0,BEL
22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Alain Dujet (FRA),0,52,52.0,OK,1999-01-01,1,0,0,FRA
23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pierre Frolla (MCO),0,56,56.0,OK,1999-01-01,1,0,0,MCO
24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Hutton (ZAF),0,54,54.0,OK,1999-01-01,1,0,0,ZAF
25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kerstin Mattes (DEU),0,22,22.0,OK,1999-01-01,1,0,0,DEU
