Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
136,(),2.0,3.0,,00:00,0,37 m,WHITE,37.0,OK,Compiled rankings for year 2000,Competition,2000-01-01,other,2000-01-01,(),None,1,1,1
140,(),2.0,3.0,,00:00,0,40 m,WHITE,40.0,OK,Compiled rankings for year 2001,Competition,2001-11-10,other,2001-11-10,(),None,11,2,2
10,(),2.0,3.0,,00:00,0,31 m,WHITE,31.0,OK,1st Portuguese Freediving Championship,Competition,2002-07-27,other,2002-07-27,(),None,7,3,3
162,(),2.0,3.0,,00:00,0,33 m,WHITE,33.0,OK,AIDA Pacific Cup 2002,Mixed Competition,2002-10-31,other,2002-10-31,(),None,10,4,4
137,(),2.0,3.0,,00:00,34,32 m,YELLOW,12.0,PEN,Sony Freediver Open Classic 2003,Mixed Competition,2003-05-29,other,2003-05-29,(),None,5,5,5
188,(),2.0,3.0,,00:00,35,35 m,YELLOW,25.0,PEN,Sony Freediver Open Classic 2003,Mixed Competition,2003-05-29,other,2003-05-29,(),None,5,6,6
44,(),2.0,3.0,,00:00,35,16 m,YELLOW,2.0,PEN,3rd Danish Freediving Championship 2003,Competition,2003-08-02,other,2003-08-02,(),None,8,7,7
31,(),2.0,3.0,,00:00,32,6 m,YELLOW,-15.0,PEN,4ème Manche Coupe d AIDA France 2004,Mixed Competition,2004-05-06,other,2004-05-06,(),None,5,8,8
16,(),2.0,3.0,,00:00,36,36 m,WHITE,36.0,OK,CAFA Western Regional Competition,Competition,2004-05-07,other,2004-05-07,(),None,5,9,9
21,(),2.0,3.0,,00:00,28,28 m,WHITE,28.0,OK,CAFA National Championship 2004,Mixed Competition,2004-06-25,other,2004-06-25,(),None,6,10,10
59,(),2.0,3.0,,00:00,48,48 m,YELLOW,38.0,PEN,4th AIDA Freediving World Championship by team,Mixed Competition,2004-08-12,World Championship,2004-08-12,(),None,8,11,11
48,(),2.0,3.0,,00:00,30,25 m,YELLOW,19.0,PEN,Mediterranean Freediving Meeting,Depth Competition,2008-07-25,other,2008-07-25,(),None,7,12,12
49,(),2.0,1.0,,00:00,0,0 m,WHITE,0.0,OK,Mediterranean Freediving Meeting,Depth Competition,2008-07-25,other,2008-07-25,(),None,7,13,1
50,(),2.0,2.0,,00:00,0,0 m,WHITE,0.0,OK,Mediterranean Freediving Meeting,Depth Competition,2008-07-25,other,2008-07-25,(),None,7,14,1
72,(),2.0,2.0,,00:00,20,15 m,YELLOW,9.0,PEN,(in progress) Bizzy Blue Hole 2009,Competition,2009-04-21,other,2009-04-21,(),None,4,15,2
2,(),2.0,1.0,,00:00,41,41 m,RED,0.0,DQBO,AIDA Cyprus Depth Games 2011,Depth Competition,2011-10-16,other,2011-10-16,(),None,10,16,2
12,(),2.0,3.0,,00:00,46,46 m,RED,0.0,DQBO,AIDA Cyprus Depth Games 2011,Depth Competition,2011-10-16,other,2011-10-16,(),None,10,17,13
34,(),2.0,3.0,,00:00,59,59 m,WHITE,59.0,OK,AIDA Red Sea World Cup,Mixed Competition,2012-08-20,World Championship,2012-08-20,(),None,8,18,14
36,(),2.0,2.0,,00:00,61,61 m,WHITE,61.0,OK,AIDA Red Sea World Cup,Mixed Competition,2012-08-20,World Championship,2012-08-20,(),None,8,19,3
38,(),2.0,1.0,,00:00,56,56 m,WHITE,56.0,OK,AIDA Red Sea World Cup,Mixed Competition,2012-08-20,World Championship,2012-08-20,(),None,8,20,3
289,(),2.0,3.0,,00:00,50,50 m,RED,0.0,DQBO,World Championship 2012,World Championship,2012-09-09,World Championship,2012-09-09,(),None,9,21,15
7,(),2.0,2.0,,00:00,60,60 m,WHITE,60.0,OK,little blue hole competition,Depth Competition,2012-09-28,other,2012-09-28,(),None,9,22,4
7,(),2.0,3.0,,00:00,49,49 m,RED,0.0,DQBO,AIDA CYPRUS Depth Games 2012,Depth Competition,2012-10-14,other,2012-10-14,(),None,10,23,16
69,(),2.0,1.0,,00:00,61,61 m,WHITE,61.0,OK,2013 Kalamata Open,Depth Competition,2013-09-09,other,2013-09-09,(),None,9,24,4
70,(),2.0,1.0,,00:00,63,63 m,WHITE,63.0,OK,2013 Kalamata Open,Depth Competition,2013-09-09,other,2013-09-09,(),None,9,25,5
