Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
2,(),2.0,1.0,,00:00,41,41 m,RED,0.0,DQBO,AIDA Cyprus Depth Games 2011,Depth Competition,2011-10-16,other,2011-10-16,(),None,10,16,2,2
12,(),2.0,3.0,,00:00,46,46 m,RED,0.0,DQBO,AIDA Cyprus Depth Games 2011,Depth Competition,2011-10-16,other,2011-10-16,(),None,10,17,13,1
289,(),2.0,3.0,,00:00,50,50 m,RED,0.0,DQBO,World Championship 2012,World Championship,2012-09-09,World Championship,2012-09-09,(),None,9,21,15,0
7,(),2.0,3.0,,00:00,49,49 m,RED,0.0,DQBO,AIDA CYPRUS Depth Games 2012,Depth Competition,2012-10-14,other,2012-10-14,(),None,10,23,16,0
234,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,25,25 m,RED,0.0,DQSP,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,5,1,2
2,Agnieszka Kalska (POL),2.0,1.0,,00:00,46,46 m,RED,0.0,DQ BO,XI Głębokościowe Mistrzostwa Polski we Freedivingu ,Depth Competition,2018-08-23,other,2018-08-23,Agnieszka Kalska,POL,8,5,2,2
3,Ahyoung Suh (KOR),2.0,2.0,,00:00,40,20 m,RED,0.0,"No tag,under ap,dqsp",2nd 2022 AIDA DFS&WHALES Recreational Competition,Depth Competition,2022-06-18,other,2022-06-18,Ahyoung Suh,KOR,6,2,2,1
4,Ai Futaki (JPN),2.0,1.0,,00:00,32,-2 m,RED,0.0,DQBO,Andaman AIDA Freediving Challenge 2008,Mixed Competition,2008-02-08,other,2008-02-08,Ai Futaki,JPN,2,1,1,2
15,Air Yangjingyan (CHN),2.0,3.0,,00:00,60,60 m,RED,0.0,DQ Pull surface,Sabang International Freediving Competition 2018,Depth Competition,2018-11-04,other,2018-11-04,Air Yangjingyan,CHN,11,3,3,1
2,Aki Shimoyama (JPN),2.0,3.0,,00:00,52,52 m,RED,0.0,DQ Late Start,Freedive Panglao Japanese Cup 2018,Depth Competition,2018-09-16,Panglao,2018-09-16,Aki Shimoyama,JPN,9,3,3,1
11,Alana Caskey (AUS),2.0,2.0,,00:00,43,-2 m,RED,0.0,DQBO,Freedive Dahab Mini Comp 2010,Depth Competition,2010-05-21,other,2010-05-21,Alana Caskey,AUS,5,5,2,1
